LANG_KEY|LANG_1|LANG_2
Push to AIMS Note|الارتباط مع NCAAA هي بوابة داخلية فعالة تسمح بنقل ملفات الاعتماد للهيئة الوطنية للاعتماد والتقييم الأكاديمي NCAAA بكل سهولة ويسر، تساعد هذه البوابة المؤسسة على فهم جميع متطلبات الاعتماد والإجراءات الرسمية المتعلقة به بطريقة إلكترونية عوضاً عن الطريقة التقليدية من خلال الورق.<\br><\br>وذلك لا يعني انقطاع التعاون بين المؤسسة وهيئة الاعتماد ، إذ أن هيئة الاعتماد يتوجب عليها أخذ زمام الأمور بالوقت المناسب من مسؤولي المؤسسة واتخاذ التدابير اللازمة خطوة بخطوة لتأكيد طلب الاعتماد الخاصة بالمؤسسة.|The push to AIMS internal portal is a great leap forward allowing users to effectively transmit the accreditation portfolio to the NCAAA (National Commission for Academic Accreditation and Assessment) securely. This minimizes collaboration between NCAAA and the institution as this portal has learned all requirements and formal procedures to successfully transmit the accreditation portfolio that is electronic prepared and organized from the accreditation module. As the assigned individual to transmit the accreditation portfolio to NCAAA you should collaborate with an institution to take the necessary initiative at the appropriate time and take great caution before confirming the submission.
Q|س|Q
QMS Course Management|إدارة المادة الدراسية|Course Management
QMS Program Management|إدارة البرنامج|Program Management
Qualitative|نوعي|Qualitative
Qualitative KPI|مؤشر أداء نوعية|Qualitative KPI
Quality|الجودة|Quality
Quantitative|كمي|Quantitative
Quantitative KPI|مؤشرات أداء كمية|Quantitative KPI
Quarter|ربع|Quarter
Question|سؤال|Question
Question Choices|خيارات السؤال|Question Choices
Question Note|ملاحظة على السؤال|Question Note
Question Type|نوع السؤال|Question Type
Questions|الأسئلة|Questions
Questions Saved Successfully|تم حفظ الأسئلة بنجاح|Questions Saved Successfully
Rank|الرتبة|Rank
Rank Date|تاريخ الرتبة|Rank Date
Rate Added Successfully |تم إضافة النسبة بنجاح|Rate Added Successfully
Rate must be larger than 0|يجب أن تكون فيمة النسبة أكبر من 0|Rate must be larger than 0
Rate must be Less than 100|يجب أن تكون فيمة النسبة أقل من 100|Rate must be Less than 100
Rate Must be Less than the Rates of each Form Type|يجب أن تكون قيمة النسبة أقل من النسب الخاصة بنوع النموذج|Rate Must be Less than the Rates Of each Form Type
Rate must be Numeric|يجب أن تكون قيمة النسبة رقم|Rate must be Numeric
Rate Percentage|النسبة|Rate Percentage
Rate Value|قيمة النسبة|Rate Value
Ratio of programs in|النسبة للبرنامج في|Ratio of programs in
Read More|قراءة المزيد|Read More
Recommendation|التوصيات|Recommendation
Recommendation deleted successfully|تم حذف التوصية بنجاح|Recommendation deleted successfully
recommendation has Entered|تم إدخال التوصية|recommendation has Entered
Recommendation List|لائحة التوصية|Recommendation List
Recommendation Saved Successfully|تم حفظ التوصية بنجاح|Recommendation Saved Successfully
Recommendation Type|نوع التوصية|Recommendation Type
Recommendation Types|أنواع التوصية|Recommendation Types
Recommendations|التوصيات|Recommendations
Recommendations & Complaint|النصائح والشكاوي|Recommendations & Complaint
Record has Entered|سجلات مدخلة.|records entered.
Refresh|Refresh|Refresh
Release Date|تاريخ النشر|Release Date
Reload|تحديث|Reload
Remember me|تذكرني|Remember me
Remind|تذكير|Remind
Remove|حذف|Remove
Remove Offered Program|إزالة البرنامج المقدّم|Remove Offered Program
Removing this keyword will destroy all its existing relationships|حذف هذه الكلمة المفتاحية قد يؤدي إلى تدمير إحدى العلاقات الموجودة|Removing this keyword will destroy all its existing relationships
Report|تقرير|Report
Report Attachment|التقرير المرفق|Report Attachment
Report deleted successfully|تم حذف التقرير بنجاح|Report deleted successfully
Report Details|تفاصيل التقرير|Report Details
Report For|تقرير ل|Report For
Report Name|اسم التقرير|Report Name
Report Saved Successfully|تم حفظ التقرير بنجاح|Report Saved Successfully
Report Text|نص التقرير|Report Text
Report Title|عنوان التقرير|Report Title
Reporting|تقارير|Reporting
Reports|التقارير|Reports
Require an answer to this Question|هذا السؤال متطلب إجابتة|Require an answer to this Question
Required|مطلوب|Required
Required Action Plan|خطة العمل مطلوبة|required Action Plan
Required and recommended materials|المواد المطلوبة والمقترحة|Required and recommended materials
Required Email|مطلوب إدخال البريد الإلكتروني|Required Email
Required End Date|تاريخ الانتهاء مطلوب|required End Date
Required Factor Abbreviation|عامل الاختصار مطلوب|Required Factor Abbreviation
Required Factor title|اسم الاختصار مطلوب|Required Factor title
Required Field|حقل مطلوب|Required Field
Required Fields Missing|حقل مطلوب مفقود|Required Fields Missing
Required Filed|حقل مطلوب|Required Filed
Required Materials|المواد مطلوبة|Required Materials
Required Name|مطلوب الاسم|Required Name
Required Password|مطلوب إدخال  كلمة السر|Required Password
Required Project|المشروع مطلوب|required Project
Required Question|السؤال مطلوب|Required Question
Required Question choice|مطلوب خياران السؤال|Required Question choice
Required Start Date|مطلوب تاريخ البدء|required Start Date
Required Statement abbreviation|اختصار البيانات مطلوب|Required Statement abbreviation
Required Statement title|عنوان البيانات مطلوب|Required Statement Title
Required Title|الاسم مطلوب|required Title
Required, recommended and support materials|مواد الدعم المقترحة والمطلوبة|Required, recommended and support materials
Research|البحث|Research
Research Budget|ميزانية البحث|Research Budget
Research Budget Actual Expenditure|النفقات الفعلية ليمزانية البحث|Research Budget Actual Expenditure
Research Budget Total Amount|المبلغ الفعلي لميزانية البحث|Research Budget Total Amount
Research Center|مركز البحث|Research Center
Research Number|رقم البحث|Research Number
Research Paper|أوراق البحث|Research Paper
Research Statistics|إحصائيات البحث|Research Statistics
Research Subject|موضوع البحث|Research Subject
Research Title|عنوان البحث|Research Title
Researcher|الباحث|Researcher
Researches|الأبحاث|Researches
Reset|إعادة تعيين|Reset
Reset Password|إعادة تعيين كلمة السر|Reset Password
Resources|المصادر|Resources
Respondent|المستجيب|Respondent
Response|الإستجابة|Response
Responsible|المسؤول|Responsible
Restore|إستعادة|Restore
Result|النتائج|Result
Result based|استناد النتائج|Result Based
Result has Entered|نتائج تم إدخالها|result has Entered
Results|النتائج|Results
Resume|الاستئناف|Resume
Review|مراجعة|Review
Reviewer|المراجعين|Reviewer
Reviewer already selected|تم اختيار المراجع مسبقاً|Reviewer already selected
Reviewer Area|منطقة المراجع|Reviewer Area
Reviewer CV|السيرة الذاتية للمراجع|Reviewer CV
Reviewer CV Attachment|السيرة الذاتية المرفقة للمراجع|Reviewer CV Attachment
Reviewer CV Text|نص السيرة الذاتية للمراجع|Reviewer CV Text
Reviewer Info|معلومات المراجع|Reviewer Info
Reviewer Information|معلومات المراجع|Reviewer Information
Reviewer Name|اسم المراجع|Reviewer Name
Reviewer Report|تقرير المراجع|Reviewer Report
Reviewer Report Attachment|تقرير المراجع المرفق|Reviewer Report Attachment
Reviewer Report Text|نص تقرير المراجع|Reviewer Report Text
Reviewers|المراجعين|Reviewers
Reviewers List|لائحة المراجعين|Reviewers List
Risk|المخاطر|Risk
Risk Successfully Saved|تم حفظ المجازفة بنجاح|Risk Successfully Saved
Risk Tab|علامة التبويب " المخاطر "|Risk Tab
Risk Tabs|علامات التبويب المخاطر|Risk Tabs
